t,num_sampled,num_new_elements,total_sample_size
1,2022,2021,2022
2,2025,2022,4044
3,1996,1994,6038
4,1998,1997,8035
5,2010,2009,10044
6,2005,2004,12048
7,1904,1903,13951
8,1882,1881,15832
9,1824,1822,17654
10,1892,1891,19545
11,1907,1906,21451
12,1787,1784,23235
13,1896,1895,25130
14,1736,1735,26865
15,1607,1606,28471
16,1631,1630,30101
17,1444,1443,31544
18,1459,1458,33002
19,1327,1325,34327
20,1863,1862,36189
21,1786,1785,37974
22,1877,1875,39849
23,1908,1907,41756
24,1850,1849,43605
25,1909,1906,45511
26,1758,1757,47268
27,1586,1585,48853
28,1893,1892,50745
29,1874,1873,52618
30,1863,1862,54480
31,1935,1934,56414
32,1855,1854,58268
33,1852,1850,60118
34,1843,1841,61959
35,1831,1829,63788
36,2005,2004,65792
37,1903,1902,67694
38,1954,1952,69646
39,1969,1968,71614
40,1979,1977,73591
41,1997,1996,75587
42,1980,1979,77566
43,2013,2011,79577
44,2056,2055,81632
45,2002,2000,83632
46,1906,1905,85537
47,1993,1992,87529
48,1937,1935,89464
49,2012,2010,91474
50,1998,1997,93471
