t,num_sampled,num_new_elements,total_sample_size
1,3963,3962,3963
2,3804,3803,7766
3,3624,3623,11389
4,3704,3703,15092
5,3657,3656,18748
6,3742,3741,22489
7,3673,3671,26160
8,3736,3735,29895
9,3719,3718,33613
10,3587,3585,37198
11,3551,3550,40748
12,3517,3516,44264
13,3517,3516,47780
14,3330,3329,51109
15,3314,3313,54422
16,3706,3705,58127
17,3641,3640,61767
18,3316,3315,65082
19,3113,3112,68194
20,3470,3468,71662
21,3479,3478,75140
22,3436,3435,78575
23,3672,3671,82246
24,3195,3194,85440
25,3434,3433,88873
26,3467,3466,92339
27,3482,3481,95820
28,3519,3518,99338
29,3524,3523,102861
30,3199,3196,106057
31,3386,3384,109441
32,3428,3426,112867
33,3446,3445,116312
34,3401,3400,119712
35,3235,3234,122946
36,3445,3444,126390
37,3696,3695,130085
38,3660,3656,133741
39,3599,3598,137339
40,3481,3480,140819
41,3401,3399,144218
42,3422,3419,147637
43,3297,3296,150933
44,3387,3386,154319
45,3365,3360,157679
46,3533,3532,161211
47,3550,3548,164759
48,3534,3532,168291
49,3171,3168,171459
50,3179,3177,174636
51,3150,3149,177785
52,3214,3213,180998
53,3102,3101,184099
54,3029,3027,187126
55,3369,3367,190493
56,3199,3198,193691
57,3103,3102,196793
58,3000,2999,199792
59,3214,3213,203005
60,3123,3120,206125
61,3155,3154,209279
62,3251,3250,212529
