t,num_sampled,num_new_elements,total_sample_size
1,1836,1835,1836
2,1663,1661,3497
3,1749,1748,5245
4,1676,1675,6920
5,1630,1629,8549
6,1677,1671,10220
7,1690,1680,11900
8,1482,1480,13380
9,1537,1531,14911
10,1644,1632,16543
11,1570,1563,18106
12,1593,1592,19698
13,1505,1504,21202
14,1694,1692,22894
15,1641,1640,24534
16,1635,1634,26168
17,1687,1676,27844
18,1586,1572,29416
19,1541,1540,30956
20,1588,1586,32542
21,1482,1481,34023
22,1663,1659,35682
23,1697,1692,37374
24,1717,1716,39090
25,1689,1688,40778
26,1769,1768,42546
27,1758,1757,44303
28,1772,1762,46065
29,1742,1724,47789
30,1806,1800,49589
31,1756,1750,51339
32,1780,1768,53107
33,1707,1697,54804
34,1667,1659,56463
35,1627,1626,58089
36,1625,1624,59713
37,1580,1579,61292
38,1632,1631,62923
39,1565,1547,64470
40,1674,1671,66141
41,1598,1597,67738
42,1563,1549,69287
43,1623,1617,70904
44,1558,1557,72461
45,1595,1594,74055
46,1604,1603,75658
47,1443,1440,77098
48,1564,1563,78661
49,1629,1627,80288
50,1672,1646,81934
