t,num_sampled,num_new_elements,total_sample_size
1,3541,3540,3541
2,3343,3339,6880
3,3290,3284,10164
4,3436,3435,13599
5,3495,3494,17093
6,3546,3542,20635
7,3678,3676,24311
8,3414,3407,27718
9,3519,3513,31231
10,3629,3621,34852
11,3466,3455,38307
12,3376,3366,41673
13,3257,3256,44929
14,3228,3222,48151
15,3109,3077,51228
16,3163,3162,54390
17,3094,3088,57478
18,3425,3424,60902
19,3299,3297,64199
20,3284,3236,67435
21,3293,3291,70726
22,3335,3334,74060
23,3208,3192,77252
24,3030,3022,80274
25,2670,2669,82943
26,2898,2888,85831
27,3201,3177,89008
28,2879,2878,91886
29,3092,3084,94970
30,3184,3180,98150
31,2919,2906,101056
32,3106,3099,104155
33,3316,3314,107469
34,3240,3239,110708
35,3300,3298,114006
36,3240,3236,117242
37,3425,3422,120664
38,3184,3183,123847
39,3158,3140,126987
40,3045,3044,130031
41,2971,2970,133001
42,3046,3043,136044
43,3069,3067,139111
44,3008,3007,142118
45,3014,2999,145117
46,3225,3223,148340
47,3233,3210,151550
48,3069,3067,154617
49,3122,3105,157722
50,3365,3364,161086
51,3012,3011,164097
52,3372,3370,167467
53,3532,3517,170984
54,3175,3171,174155
55,3322,3306,177461
56,3390,3352,180813
57,3547,3545,184358
58,3549,3543,187901
59,3334,3327,191228
60,3389,3387,194615
61,3399,3373,197988
62,3402,3400,201388
63,3155,3154,204542
64,3442,3434,207976
65,3536,3535,211511
66,3467,3465,214976
67,3453,3434,218410
68,3458,3441,221851
69,3258,3257,225108
70,2993,2967,228075
71,3201,3200,231275
72,3433,3426,234701
73,3067,3057,237758
74,2905,2900,240658
75,3182,3161,243819
76,2903,2899,246718
77,2983,2982,249700
78,2792,2791,252491
79,2814,2813,255304
80,2967,2966,258270
81,2923,2922,261192
82,3423,3420,264612
83,2996,2995,267607
84,3234,3233,270840
85,3128,3116,273956
86,2782,2779,276735
87,2976,2972,279707
88,3025,3024,282731
89,3130,3115,285846
90,2816,2814,288660
91,2942,2924,291584
92,2926,2907,294491
93,3063,3054,297545
94,3032,3030,300575
95,3016,3015,303590
96,2976,2965,306555
97,3077,3058,309613
98,2863,2849,312462
99,2683,2668,315130
100,2778,2777,317907
