t,num_sampled,num_new_elements,total_sample_size
1,150,149,150
2,320,259,409
3,286,185,594
4,293,165,759
5,353,105,864
6,388,73,937
7,315,45,982
8,362,38,1020
9,354,19,1039
10,350,19,1058
11,279,3,1061
12,340,1,1062
