t,num_sampled,num_new_elements,total_sample_size
1,323,322,323
2,402,401,724
3,383,381,1105
4,352,349,1454
5,335,333,1787
6,383,381,2168
7,395,393,2561
8,336,331,2892
9,387,386,3278
10,447,446,3724
11,408,407,4131
12,418,417,4548
13,425,418,4966
14,488,487,5453
15,454,452,5905
16,512,511,6416
17,519,518,6934
18,508,506,7440
19,533,531,7971
20,547,546,8517
21,547,546,9063
22,580,579,9642
23,575,572,10214
24,480,478,10692
25,509,507,11199
26,665,664,11863
27,642,641,12504
28,646,645,13149
29,609,607,13756
30,591,589,14345
31,568,567,14912
32,594,593,15505
33,610,608,16113
34,651,650,16763
35,716,715,17478
36,683,681,18159
37,632,630,18789
38,566,565,19354
39,548,545,19899
40,511,509,20408
41,524,523,20931
42,450,449,21380
43,468,467,21847
44,538,536,22383
45,585,584,22967
46,627,625,23592
47,649,648,24240
48,662,660,24900
49,701,699,25599
50,684,682,26281
