t,num_sampled,num_new_elements,total_sample_size
1,710,709,710
2,881,880,1590
3,868,863,2453
4,939,913,3366
5,1029,1028,4394
6,1063,1057,5451
7,1129,1113,6564
8,1227,1222,7786
9,1196,1191,8977
10,1185,1172,10149
11,1317,1310,11459
12,1211,1210,12669
13,1216,1210,13879
14,1268,1220,15099
15,1238,1235,16334
16,1112,1109,17443
17,1112,1101,18544
18,966,965,19509
19,1086,1081,20590
20,1049,1040,21630
21,1038,1037,22667
22,998,982,23649
23,1076,1075,24724
24,1187,1183,25907
25,1252,1250,27157
26,1300,1296,28453
27,1279,1272,29725
28,1231,1224,30949
29,1306,1302,32251
30,1319,1317,33568
31,1181,1177,34745
32,1092,1085,35830
33,1224,1215,37045
34,1107,1098,38143
35,1252,1251,39394
36,1107,1106,40500
37,1217,1200,41700
38,1404,1403,43103
39,1329,1322,44425
40,1360,1351,45776
41,1366,1357,47133
42,1310,1309,48442
43,1380,1379,49821
44,1279,1278,51099
45,1369,1368,52467
46,1423,1417,53884
47,1446,1435,55319
48,1481,1480,56799
49,1387,1386,58185
50,1568,1567,59752
